Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption
N America,USA,Texas,Childress Hall 2,Once,Member,2026,,Gil Hanse,,,,,,New,Drawing boards ,,,2023-07-15,34.5281719,-100.4509078,https://fescue.github.io/Childress-Hall/,,,,,Colin Sheehan,,,
N America,USA,Texas,Darmor Club,Holiday,Public,2024,,Hal Sutton Doug Wright,,,Heritage Links,,,New,Construction,,,2023-10-28,29.7175636,-96.219111,https://fescue.github.io/Darmor-Golf-Club/,,,,,Eden,,DougWrightGolf/status/1631323696605417473,Reverse Redan
N America,USA,Texas,Discovery Land TBA,Member,Member,2026,,Tom Fazio,,,Discovery,,,New,Drawing boards ,,,2023-03-31,32.5297675,-97.563961,https://discoverylandco.com/our-worlds,,,,,Fort Worth,,,
N America,USA,Texas,Fields Ranch East ,Holiday,Public,2023,,Gil Hanse ,,$500M,Heritage Links,,,New,Open,,,2023-04-30,33.150605,-96.967883,https://www.visitfrisco.com/pga/,EsO0zbGnsug,,,,,No Laying Up,PGA/status/1330227228022489089,NorthBridge Bermuda
N America,USA,Texas,Fields Ranch West ,Holiday,Public,2023,,Beau Welling ,,$500M,Wadsworth,,,New,Open,,,2023-04-30,33.150605,-96.967883,https://www.visitfrisco.com/pga/,M5V-pRJKkLg,,,,,Seth Waugh,,
N America,USA,Texas,Freestone,Once,Member,2025,,Beau Welling ,,,,,,New,Construction,,,2023-08-18,31.7800957,-97.3865612,https://fescue.github.io/Freestone-Lake-Golf-Club/,,,,,Fairfield Lake State Park,,,
N America,USA,Texas,Kelly Ranch,Once,Member,2025,,Tripp Davis,,,Escalante Golf,,,New,Construction,,,2023-12-05,32.7771101,-97.7648794,https://fescue.github.io/Kelly-Ranch-Golf-Club/,,,,,,,,
N America,USA,Texas,Legacy Hills 1876,Once,Member,2024,,Lee Singletary,,,,,,New,Construction,,,2023-11-18,33.3287996,-96.874172,https://dallasinnovates.com/centurion-american-announces-new-1876-country-club-in-celina/,,,,,,,DBJHethcock/status/1520141052967108608,Real estate
N America,USA,Texas,Loraloma Thomas Ranch,Once,Member,2024,,David Kidd,,,,ETA Dec 2024,,New,Construction,,,2023-10-20,30.4891575,-98.162516,https://fescue.github.io/Loraloma-Thomas-Ranch-Golf/,,thomasranchtx,thomasranchtx,,,,,
N America,USA,Texas,Luling Sport,Holiday,Public,2024,,Kyle Franz,,,Greenscape Methods,,,New,Construction,,,2023-12-08,29.6407704,-97.7170347,https://fescue.github.io/Luling-Sport/,,,,,,,,
N America,USA,Texas,Nacogdoches,Holiday,Public,2025,,Tom Doak,,,,,,New,Drawing boards ,,,2023-12-01,31.6964205,-94.536952,https://www.stitcher.com/show/the-fried-egg-golf-podcast/episode/yolk-with-doak-37-scotland-travels-restorations-and-listener-questions-208840591,,,,,,,,
