Region,Country,Location,Course,Date,Architect,TypeOfJob,Status,History,DataCurated,Latitude,Longitude,Website,YouTube,Comments,YouTubeCaption,Twitter,TwitterCaption,ArchitectURL,Archive1,Archive2
N America,USA,Oregon,Pacific Gales,2026,Haley Esler,New,Drawing boards ,,2023-04-27,45.17294,-122.540801,http://pacificgales.com/,,,,pacificgales,Planning Board,,https://paradise-isle.com/,
N America,USA,Oregon,Wicked Pony,2009,Tom Doak,New,Stopped,,2023-01-01,44.0611068,-121.3970447,https://golf.com/travel/building-golf-courses-coronavirus-tom-doak/,,,,,,,,
N America,USA,Rhode Island,Winnapaug,2022,Nicklaus Design,Restore,Real estate,Donald Ross,2022-04-22,41.338693,-71.79467,http://www.winnapaugcountryclub.com/course/,,Jill Scola,,,,,,
N America,USA,Tennessee,Cheekwood,2021,Nicklaus Design,New,Never started,,2023-01-01,35.949908,-86.868568,https://williamsonsource.com/cheekwood-golf-course-proposal-rescinded-city/,,,,,,,,
N America,USA,Washington,Badger Mountain,2010,John Steidel,New,Never started,,2010-01-01,46.2346159,-119.3333182,https://bentoncountywa.municipalone.com//files/documents/Dec_8__2009_-_Planning_CommissionMinutes_12-08-2009_010245.pdf,L3wZ7hrV_oc,Nor Am,Real estate,,,,,
N America,USA,Wisconsin,Kohler Whistling Straits 2,2023,King Collins,Public,Drawing boards ,,2023-12-14,43.7269,-87.778073,https://wislawjournal.com/2023/12/06/kohler-golf-course-permit-denied-as-appeals-court-upholds-lower-court/,,Permit approved,,the_fried_egg/status/1669701737001914368,Fried Egg,,,
N America,Canada,Noca Scotia,Mabou,2027,TBA,New,Drawing boards ,,2023-04-30,46.0820418,-61.4527906,https://beyondthecontour.com/cabot-cape-breton-sets-sights-on-mabou-point/,,,,capebretonpost/status/1649707114166898688,Provincial Parks Act,,https://www.sterlinghillsgolf.com/land-deal/,
Africa,Ghana,Ho,Adonai,2023,TBA,New,Drawing boards ,,2021-01-09,6.600659,0.409225,https://adonaiestateltd.com/,,,,AdonaiCLimited/status/1345318935223267330,Image,,,
Asia,Azerbaijan,Baku,TBA,2023,TBA,New,Construction,,2020-12-30,40.394571,49.784748,https://fescue.github.io/,,,,,,,https://ernieels.com/design/the-courses/europe/matalda-mali-losinj-croatia/,
Asia,Bangladesh,Cox’s Bazar,Ramu,2024,Jansen,New,Cricket Stadium,,2021-01-15,21.3737396,92.076743,https://fescue.github.io/Cox-Bazar-Golf/,,,,,,,,
